,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
159,0.5745,0.2365,0.8872,0.6631,0.9947,0.2026,0.0243,0.0516,0.5731,0.7042
160,0.4255,0.8713,0.1347,0.8472,0.9076,0.1119,0.4111,0.9195,0.094,0.288
161,0.2144,0.1348,0.3408,0.7913,0.925,0.543,0.5117,0.8866,0.7978,0.5555
162,0.9663,0.5311,0.2352,0.703,0.2881,0.6119,0.1563,0.2136,0.4546,0.0017
163,0.6864,0.1884,0.5335,0.5069,0.3115,0.217,0.6291,0.9788,0.1437,0.0934
164,0.6544,0.9829,0.5538,0.4351,0.4039,0.551,0.9532,0.2737,0.4476,0.9709
165,0.1501,0.9596,0.3003,0.5607,0.8175,0.357,0.1065,0.6002,0.2678,0.6988
166,0.419,0.4783,0.7358,0.5981,0.9247,0.6936,0.2979,0.5061,0.3049,0.9205
167,0.7988,0.1744,0.0111,0.0736,0.6048,0.3427,0.5388,0.4765,0.0142,0.7085
168,0.0926,0.6885,0.2725,0.9258,0.3376,0.4328,0.4456,0.2551,0.2417,0.4319
169,0.7835,0.7303,0.9121,0.5125,0.1285,0.1982,0.9365,0.0715,0.5121,0.601
170,0.8464,0.4711,0.8221,0.0876,0.2447,0.3954,0.7516,0.169,0.1191,0.4298
171,0.0771,0.8159,0.0229,0.3793,0.7165,0.5983,0.7698,0.6324,0.4333,0.3456
172,0.0564,0.8244,0.9458,0.5545,0.6484,0.0723,0.6568,0.6926,0.4919,0.2051
173,0.0395,0.574,0.3892,0.6085,0.5311,0.134,0.0397,0.8327,0.5974,0.8918
174,0.3984,0.772,0.4995,0.7801,0.7791,0.1375,0.6663,0.2903,0.6158,0.9131
175,0.8654,0.4699,0.7024,0.6696,0.4849,0.0692,0.3051,0.022,0.3645,0.3813
176,0.2955,0.7586,0.5222,0.6587,0.3661,0.6524,0.1215,0.5442,0.2302,0.3554
177,0.372,0.8817,0.9792,0.5782,0.5679,0.4964,0.0963,0.2002,0.1492,0.5025
178,0.1075,0.974,0.5093,0.3118,0.6126,0.8235,0.9071,0.907,0.6363,0.7991
179,0.6109,0.1416,0.6397,0.7895,0.0238,0.377,0.2403,0.3011,0.35,0.0476
180,0.4759,0.6195,0.3278,0.5249,0.0431,0.5358,0.4945,0.2471,0.6877,0.3896
181,0.6993,0.7178,0.9676,0.4984,0.0608,0.2455,0.3804,0.4965,0.8277,0.7804
182,0.112,0.2094,0.865,0.1352,0.0656,0.5711,0.2626,0.2759,0.8369,0.6774
183,0.881,0.4424,0.1287,0.8305,0.0838,0.9289,0.2583,0.0139,0.7102,0.6387
184,0.4013,0.2987,0.6083,0.2064,0.9465,0.5318,0.7357,0.9687,0.2836,0.788
185,0.085,0.4342,0.8549,0.7667,0.1137,0.9764,0.0599,0.897,0.5853,0.3752
186,0.349,0.6629,0.5715,0.0419,0.4778,0.02,0.8139,0.9342,0.6237,0.1617
187,0.8531,0.2622,0.7308,0.7589,0.9145,0.422,0.2826,0.8217,0.5461,0.9462
188,0.9428,0.8635,0.7129,0.3865,0.5085,0.4503,0.8455,0.3613,0.1235,0.5944
189,0.0205,0.5363,0.1359,0.4941,0.2602,0.6896,0.4814,0.0943,0.3886,0.7237
190,0.9303,0.8933,0.6201,0.0455,0.9979,0.6689,0.2107,0.7229,0.9093,0.8509
191,0.902,0.4598,0.8728,0.3197,0.9554,0.9904,0.208,0.6639,0.2451,0.5362
192,0.5664,0.393,0.3202,0.7384,0.6419,0.244,0.3045,0.4086,0.2047,0.3329
193,0.4355,0.6834,0.4628,0.9307,0.1015,0.4935,0.9999,0.1416,0.5913,0.5766
194,0.3882,0.7382,0.224,0.7494,0.2672,0.0266,0.1874,0.3262,0.4435,0.6466
195,0.339,0.8897,0.729,0.1912,0.0481,0.2239,0.8675,0.6582,0.8916,0.0241
196,0.1273,0.0763,0.3912,0.3826,0.5027,0.4727,0.8561,0.482,0.7418,0.7349
197,0.8554,0.7796,0.9353,0.9135,0.8955,0.4424,0.5309,0.7291,0.7194,0.0449
198,0.434,0.1785,0.5907,0.182,0.5616,0.2729,0.6863,0.6188,0.3128,0.1795
199,0.8301,0.8029,0.338,0.8589,0.4694,0.1225,0.3661,0.0797,0.0236,0.7108
